id,Price_euros
181,2468.3
708,749.96
862,552.89
1064,987.08
702,1052.12
585,1829.34
195,2833.06
463,530.74
14,4860.71
621,1430.53
1259,1525.42
551,496.39
358,297.88
610,595.5
880,540.62
655,880.61
630,531.1
483,1425.27
115,1229.2
297,1647.31
1162,1471.2
666,865.4
1278,1389.75
777,1327.05
521,1821.12
93,601.94
260,773.92
733,301.45
908,1235.22
797,393.74
71,1221.69
60,1042.42
608,1711.52
82,530.41
540,436.78
761,1829.24
473,837.4
183,853.42
186,2770.23
846,522.46
901,636.9
912,905.92
27,1494.31
1127,1814.77
858,1149.08
958,1771.7
771,644.93
930,2958.25
807,286.35
618,1743.83
250,1156.66
334,763.66
180,941.9
886,379.15
394,1275.39
659,572.49
764,711.15
428,183.47
1231,1011.79
865,1269.11
1286,1515.57
635,1206.43
143,575.89
376,1140.45
1032,1085.32
1057,1524.3
1089,569.06
87,1837.32
1072,431.35
211,2028.35
1003,905.15
889,2734.7
1066,2033.91
1225,1168.06
146,1028.57
1044,1075.92
1105,1074.49
59,399.43
251,1024.73
954,880.76
948,494.72
887,2048.85
369,1419.35
1148,624.72
1062,1303.56
1135,1581.25
1180,1813.0
620,599.64
304,2657.97
1048,602.52
157,595.59
1128,552.89
714,1269.11
993,1212.21
689,2588.72
443,608.36
673,1705.04
975,1170.25
391,1024.4
810,1056.13
32,628.6
724,301.2
287,1555.78
857,990.49
1087,725.47
386,1267.61
649,817.41
1247,788.02
279,1004.95
1176,1365.1
1125,1068.43
286,893.31
937,286.35
508,705.7
88,1003.29
446,1821.12
336,935.64
779,1084.98
224,938.74
834,1548.47
238,593.42
582,1277.12
726,963.66
462,1987.74
863,241.69
987,1503.53
1118,1882.46
1151,1678.17
736,1782.95
957,1299.44
502,917.86
811,1055.65
898,277.59
802,1528.67
265,652.29
1081,528.06
104,379.78
675,1966.65
1209,1314.48
1004,736.4
29,726.64
432,2060.86
684,2034.05
240,1040.64
237,2287.91
152,909.49
725,958.9
97,620.68
1155,1147.92
746,2800.69
1143,827.04
592,697.86
479,1589.44
1098,532.5
903,1242.29
936,1077.34
539,2279.03
653,567.16
310,512.66
892,1441.06
338,2250.11
705,644.14
273,1395.84
758,2202.19
1080,1821.12
1073,2384.2
480,1470.94
1267,2175.27
545,1267.61
153,540.71
573,2039.72
1150,2669.59
949,2186.28
160,644.89
537,2872.24
1102,1357.23
833,1202.31
513,1155.24
1202,2899.11
76,1349.96
514,399.34
133,2099.95
1251,435.85
806,365.92
1021,688.38
206,1251.61
870,978.53
179,811.49
706,594.18
416,1858.88
534,1804.88
989,862.31
316,1233.83
507,1121.61
817,528.53
776,1589.18
831,1810.02
1229,1037.4
295,1384.38
660,1840.72
612,865.64
529,1638.97
114,995.37
492,2009.54
226,1345.56
695,240.32
751,508.24
644,538.86
1185,832.93
917,2049.49
527,1246.71
854,831.82
182,1741.47
346,923.24
90,328.9
468,1224.25
1147,410.22
1061,1371.16
1156,1089.65
496,791.38
312,2082.27
822,1314.76
337,1579.38
835,1307.81
255,1032.63
364,1465.23
944,2183.19
1266,702.98
505,512.19
350,858.72
800,752.57
567,934.72
1242,1934.55
905,1345.56
587,1803.99
922,840.16
259,1369.37
1248,872.65
641,200.13
128,457.27
215,2176.52
756,565.88
1054,939.52
651,1206.1
86,1882.98
1037,1274.15
1299,1151.88
1109,1887.39
679,673.32
1099,1472.57
6,1412.71
1163,1012.22
516,1634.31
1115,1034.53
977,1472.14
910,1155.13
962,370.39
264,1206.65
83,1322.43
1295,848.42
158,1292.02
487,716.0
765,741.76
445,663.66
617,1738.09
727,1241.95
108,2223.72
918,1787.47
991,1199.59
81,1473.34
122,870.77
383,410.22
951,1030.51
75,1314.48
421,1245.75
145,435.32
8,1216.96
175,518.57
1123,1731.78
927,556.49
875,2361.54
1029,1035.0
1265,844.52
1033,457.76
663,178.6
184,930.4
896,1372.39
688,862.65
984,944.07
744,1051.55
38,837.38
1227,1539.52
605,1371.16
1246,1898.32
77,2274.39
1252,778.69
920,845.02
805,604.41
397,1081.36
231,607.7
1104,915.6
1204,1202.29
1217,1202.6
149,1852.67
461,636.9
21,2227.33
357,1749.25
780,1544.05
343,593.65
737,224.63
845,856.18
173,1653.15
781,638.43
1164,430.45
819,486.6
277,653.95
674,2239.0
1279,2688.85
1255,1629.81
1240,834.79
41,1508.37
719,1680.26
298,2173.88
935,2122.69
826,1148.71
278,1282.04
477,1895.51
542,224.63
151,481.15
900,240.32
1124,1045.52
1216,320.37
459,1017.18
584,314.18
294,730.39
1076,1033.32
91,2037.34
632,1273.87
1117,550.3
457,1106.22
326,727.14
925,1996.66
398,104.38
940,1360.81
363,783.72
906,583.98
820,748.52
1020,1553.46
556,1414.12
384,1338.84
885,900.23
1285,1110.46
438,403.4
837,1278.18
979,1128.36
548,391.22
170,1078.12
62,1897.57
309,560.93
816,1546.15
22,274.96
285,1888.17
668,597.39
417,1199.91
685,2000.74
1049,944.74
440,612.86
299,1927.85
1188,1138.33
552,669.26
586,246.82
783,1063.01
1070,1078.12
1210,1295.88
1014,274.48
501,1253.6
140,1306.64
235,375.58
317,653.49
861,1089.65
257,1273.87
1200,369.43
371,1350.32
1112,432.88
419,2045.42
385,494.83
1281,1445.81
524,2093.47
1015,645.79
1236,223.59
1036,1443.48
